Index,L2,color
0,Sugars,"#e94c3e"
1,Polymers,"#b8302a"
2,Aromatic,"#5f3230"
3,Denitrification,"#93ce81"
4,NO3_reduction,"#6bb96d"
5,NH3_oxidation,"#41a359"
6,NO3_A.reduction,"#36854d"
7,NH4_assimilation,"#356542"
8,N2_fixation,"#344338"
9,P_transport,"#4e96c8"
10,P_regulation,"#3787c0"
11,PolyP-ases ,"#3676a4"
12,Phosphatases ,"#356587"
13,Phn_transport,"#35556c"
14,CH3-phosphonate,"#34434f"
15,S2O3_oxidation,"#e975a8"
16,SO4_D.reduction,"#ce248f"
17,SO4_A.reduction,"#8f296a"
18,CH4_oxidation,"#d9d9d9"
19,CH4_H2_reduction,"#b0b0b0"
20,CH4_acetate,"#7e7e7e"
21,CH4_methylotroph,"#515151"
22,CH4_Archaeal,"#181818"
23,CH3_Phosphonate,"#34434f"
24,H2_oxidation,"#fed778"
25,H2_production,"#fe9829"
26,Fermentation,"#d85a09"
27,Acetate,"#8e3104"